Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),"GDP, billion currency units"
1995,3,1,5,31,3/1/1995,5/31/1995,1995-03-01,1995-05-31,234.98
1995,6,1,8,31,6/1/1995,8/31/1995,1995-06-01,1995-08-31,324.25
1995,9,1,11,30,9/1/1995,11/30/1995,1995-09-01,1995-11-30,421.06
1995,12,1,2,28,12/1/1995,2/28/1995,1995-12-01,1995-02-28,448.23
1996,3,1,5,31,3/1/1996,5/31/1996,1996-03-01,1996-05-31,425.29
1996,6,1,8,31,6/1/1996,8/31/1996,1996-06-03,1996-08-30,468.42
1996,9,1,11,30,9/1/1996,11/30/1996,1996-09-02,1996-11-29,548.88
1996,12,1,2,29,12/1/1996,2/29/1996,1996-12-02,1996-02-29,565.24
1997,3,1,5,31,3/1/1997,5/31/1997,1997-03-03,1997-05-30,512.37
1997,6,1,8,31,6/1/1997,8/31/1997,1997-06-02,1997-08-29,555.08
1997,9,1,11,30,9/1/1997,11/30/1997,1997-09-01,1997-11-28,634.16
1997,12,1,2,28,12/1/1997,2/28/1997,1997-12-01,1997-02-28,640.91
1998,3,1,5,31,3/1/1998,5/31/1998,1998-03-02,1998-05-29,550.87
1998,6,1,8,31,6/1/1998,8/31/1998,1998-06-01,1998-08-31,602.45
1998,9,1,11,30,9/1/1998,11/30/1998,1998-09-01,1998-11-30,675.46
1998,12,1,2,28,12/1/1998,2/28/1998,1998-12-01,1998-02-27,800.85
1999,3,1,5,31,3/1/1999,5/31/1999,1999-03-01,1999-05-31,901.35
1999,6,1,8,31,6/1/1999,8/31/1999,1999-06-01,1999-08-31,1101.5
1999,9,1,11,30,9/1/1999,11/30/1999,1999-09-01,1999-11-30,1373.07
1999,12,1,2,28,12/1/1999,2/28/1999,1999-12-01,1999-02-26,1447.32
2000,3,1,5,31,3/1/2000,5/31/2000,2000-03-01,2000-05-31,1527.42
2000,6,1,8,31,6/1/2000,8/31/2000,2000-06-01,2000-08-31,1696.65
2000,9,1,11,30,9/1/2000,11/30/2000,2000-09-01,2000-11-30,2037.85
2000,12,1,2,29,12/1/2000,2/29/2000,2000-12-01,2000-02-29,2043.73
2001,3,1,5,31,3/1/2001,5/31/2001,2001-03-01,2001-05-31,1900.87
2001,6,1,8,31,6/1/2001,8/31/2001,2001-06-01,2001-08-31,2105.01
2001,9,1,11,30,9/1/2001,11/30/2001,2001-09-03,2001-11-30,2487.87
2001,12,1,2,28,12/1/2001,2/28/2001,2001-12-03,2001-02-28,2449.83
2002,3,1,5,31,3/1/2002,5/31/2002,2002-03-01,2002-05-31,2262.19
2002,6,1,8,31,6/1/2002,8/31/2002,2002-06-03,2002-08-30,2528.67
