Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),"GDP, billion currency units"
1984,3,1,5,31,3/1/1984,5/31/1984,1984-03-01,1984-05-31,23.38
1984,6,1,8,31,6/1/1984,8/31/1984,1984-06-01,1984-08-31,25.6
1984,9,1,11,30,9/1/1984,11/30/1984,1984-09-03,1984-11-30,26.71
1984,12,1,2,28,12/1/1984,2/28/1985,1984-12-03,1985-02-28,26.84
1985,3,1,5,31,3/1/1985,5/31/1985,1985-03-01,1985-05-31,25.12
1985,6,1,8,31,6/1/1985,8/31/1985,1985-06-03,1985-08-30,26.77
1985,9,1,11,30,9/1/1985,11/30/1985,1985-09-02,1985-11-29,27.66
1985,12,1,2,28,12/1/1985,2/28/1986,1985-12-02,1986-02-28,28.36
1986,3,1,5,31,3/1/1986,5/31/1986,1986-03-03,1986-05-30,28.51
1986,6,1,8,31,6/1/1986,8/31/1986,1986-06-02,1986-08-29,29.55
1986,9,1,11,30,9/1/1986,11/30/1986,1986-09-01,1986-11-28,33.17
1986,12,1,2,28,12/1/1986,2/28/1987,1986-12-01,1986-02-27,33.83
1987,3,1,5,31,3/1/1987,5/31/1987,1987-03-02,1987-05-29,32.11
1987,6,1,8,31,6/1/1987,8/31/1987,1987-06-01,1987-08-31,37.99
1987,9,1,11,30,9/1/1987,11/30/1987,1987-09-01,1987-11-30,40.56
1987,12,1,2,29,12/1/1987,2/29/1988,1987-12-01,1988-02-29,42.39
1988,3,1,5,31,3/1/1988,5/31/1988,1988-03-01,1988-05-31,42.35
1988,6,1,8,31,6/1/1988,8/31/1988,1988-06-01,1988-08-31,46.78
1988,9,1,11,30,9/1/1988,11/30/1988,1988-09-01,1988-11-30,48.41
1988,12,1,2,28,12/1/1988,2/28/1989,1988-12-01,1989-02-28,51.14
1989,3,1,5,31,3/1/1989,5/31/1989,1989-03-01,1989-05-31,49.38
1989,6,1,8,31,6/1/1989,8/31/1989,1989-06-01,1989-08-31,53.92
1989,9,1,11,30,9/1/1989,11/30/1989,1989-09-01,1989-11-30,56.53
1989,12,1,2,28,12/1/1989,2/28/1990,1989-12-01,1990-02-28,59.21
1990,3,1,5,31,3/1/1990,5/31/1990,1990-03-01,1990-05-31,56.59
1990,6,1,8,31,6/1/1990,8/31/1990,1990-06-01,1990-08-31,60.63
1990,9,1,11,30,9/1/1990,11/30/1990,1990-09-03,1990-11-30,65.41
1990,12,1,2,28,12/1/1990,2/28/1991,1990-12-03,1991-02-28,64.91
1991,3,1,5,31,3/1/1991,5/31/1991,1991-03-01,1991-05-31,65.37
1991,6,1,8,31,6/1/1991,8/31/1991,1991-06-03,1991-08-30,67.55
1991,9,1,11,30,9/1/1991,11/30/1991,1991-09-02,1991-11-29,74.52
1991,12,1,2,29,12/1/1991,2/29/1992,1991-12-02,1991-02-28,74.97
1992,3,1,5,31,3/1/1992,5/31/1992,1992-03-02,1992-05-29,74.08
1992,6,1,8,31,6/1/1992,8/31/1992,1992-06-01,1992-08-31,74.64
1992,9,1,11,30,9/1/1992,11/30/1992,1992-09-01,1992-11-30,81.22
1992,12,1,2,28,12/1/1992,2/28/1993,1992-12-01,1992-02-27,84.35
1993,3,1,5,31,3/1/1993,5/31/1993,1993-03-01,1993-05-31,81.59
1993,6,1,8,31,6/1/1993,8/31/1993,1993-06-01,1993-08-31,81.82
1993,9,1,11,30,9/1/1993,11/30/1993,1993-09-01,1993-11-30,96.08
1993,12,1,2,28,12/1/1993,2/28/1994,1993-12-01,1994-02-28,100.64
1994,3,1,5,31,3/1/1994,5/31/1994,1994-03-01,1994-05-31,96.1
1994,6,1,8,31,6/1/1994,8/31/1994,1994-06-01,1994-08-31,103.29
1994,9,1,11,30,9/1/1994,11/30/1994,1994-09-01,1994-11-30,110.36
1994,12,1,2,28,12/1/1994,2/28/1995,1994-12-01,1995-02-28,114.13
1995,3,1,5,31,3/1/1995,5/31/1995,1995-03-01,1995-05-31,114.33
1995,6,1,8,31,6/1/1995,8/31/1995,1995-06-01,1995-08-31,119.13
1995,9,1,11,30,9/1/1995,11/30/1995,1995-09-01,1995-11-30,123.77
1995,12,1,2,29,12/1/1995,2/29/1996,1995-12-01,1996-02-29,128.28
1996,3,1,5,31,3/1/1996,5/31/1996,1996-03-01,1996-05-31,125.17
1996,6,1,8,31,6/1/1996,8/31/1996,1996-06-03,1996-08-30,133.08
1996,9,1,11,30,9/1/1996,11/30/1996,1996-09-02,1996-11-29,139.34
1996,12,1,2,28,12/1/1996,2/28/1997,1996-12-02,1997-02-28,141.39
1997,3,1,5,31,3/1/1997,5/31/1997,1997-03-03,1997-05-30,137.84
1997,6,1,8,31,6/1/1997,8/31/1997,1997-06-02,1997-08-29,142.16
1997,9,1,11,30,9/1/1997,11/30/1997,1997-09-01,1997-11-28,173.83
1997,12,1,2,28,12/1/1997,2/28/1998,1997-12-01,1997-02-27,174.12
1998,3,1,5,31,3/1/1998,5/31/1998,1998-03-02,1998-05-29,169.16
1998,6,1,8,31,6/1/1998,8/31/1998,1998-06-01,1998-08-31,180.59
1998,9,1,11,30,9/1/1998,11/30/1998,1998-09-01,1998-11-30,189.67
1998,12,1,2,28,12/1/1998,2/28/1999,1998-12-01,1998-02-27,187.11
1999,3,1,5,31,3/1/1999,5/31/1999,1999-03-01,1999-05-31,180.32
1999,6,1,8,31,6/1/1999,8/31/1999,1999-06-01,1999-08-31,193.05
1999,9,1,11,30,9/1/1999,11/30/1999,1999-09-01,1999-11-30,198.74
1999,12,1,2,29,12/1/1999,2/29/2000,1999-12-01,2000-02-29,201.63
2000,3,1,5,31,3/1/2000,5/31/2000,2000-03-01,2000-05-31,199.34
2000,6,1,8,31,6/1/2000,8/31/2000,2000-06-01,2000-08-31,207.84
2000,9,1,11,30,9/1/2000,11/30/2000,2000-09-01,2000-11-30,221.6
2000,12,1,2,28,12/1/2000,2/28/2001,2000-12-01,2001-02-28,218.97
2001,3,1,5,31,3/1/2001,5/31/2001,2001-03-01,2001-05-31,217.29
2001,6,1,8,31,6/1/2001,8/31/2001,2001-06-01,2001-08-31,222.4
2001,9,1,11,30,9/1/2001,11/30/2001,2001-09-03,2001-11-30,251.67
2001,12,1,2,28,12/1/2001,2/28/2002,2001-12-03,2002-02-28,255.69
2002,3,1,5,31,3/1/2002,5/31/2002,2002-03-01,2002-05-31,258.38
2002,6,1,8,31,6/1/2002,8/31/2002,2002-06-03,2002-08-30,278.39
2002,9,1,11,30,9/1/2002,11/30/2002,2002-09-02,2002-11-29,289.62
2002,12,1,2,28,12/1/2002,2/28/2003,2002-12-02,2003-02-28,295.31
2003,3,1,5,31,3/1/2003,5/31/2003,2003-03-03,2003-05-30,288.86
2003,6,1,8,31,6/1/2003,8/31/2003,2003-06-02,2003-08-29,305.24
2003,9,1,11,30,9/1/2003,11/30/2003,2003-09-01,2003-11-28,315.9
2003,12,1,2,29,12/1/2003,2/29/2004,2003-12-01,2003-02-28,319.4
2004,3,1,5,31,3/1/2004,5/31/2004,2004-03-01,2004-05-31,320.38
2004,6,1,8,31,6/1/2004,8/31/2004,2004-06-01,2004-08-31,343.43
2004,9,1,11,30,9/1/2004,11/30/2004,2004-09-01,2004-11-30,356.07
2004,12,1,2,28,12/1/2004,2/28/2005,2004-12-01,2005-02-28,361.44
2005,3,1,5,31,3/1/2005,5/31/2005,2005-03-01,2005-05-31,359.6
2005,6,1,8,31,6/1/2005,8/31/2005,2005-06-01,2005-08-31,374.19
2005,9,1,11,30,9/1/2005,11/30/2005,2005-09-01,2005-11-30,404.01
2005,12,1,2,28,12/1/2005,2/28/2006,2005-12-01,2006-02-28,410.82
2006,3,1,5,31,3/1/2006,5/31/2006,2006-03-01,2006-05-31,410.72
2006,6,1,8,31,6/1/2006,8/31/2006,2006-06-01,2006-08-31,432.39
2006,9,1,11,30,9/1/2006,11/30/2006,2006-09-01,2006-11-30,470.72
2006,12,1,2,28,12/1/2006,2/28/2007,2006-12-01,2007-02-28,487.92
2007,3,1,5,31,3/1/2007,5/31/2007,2007-03-01,2007-05-31,482.02
2007,6,1,8,31,6/1/2007,8/31/2007,2007-06-01,2007-08-31,499.11
2007,9,1,11,30,9/1/2007,11/30/2007,2007-09-03,2007-11-30,536.09
2007,12,1,2,29,12/1/2007,2/29/2008,2007-12-03,2008-02-29,543.6
2008,3,1,5,31,3/1/2008,5/31/2008,2008-03-03,2008-05-30,556.13
2008,6,1,8,31,6/1/2008,8/31/2008,2008-06-02,2008-08-29,584.3
2008,9,1,11,30,9/1/2008,11/30/2008,2008-09-01,2008-11-28,614.46
2008,12,1,2,28,12/1/2008,2/28/2009,2008-12-01,2008-02-27,599.67
2009,3,1,5,31,3/1/2009,5/31/2009,2009-03-02,2009-05-29,588.61
2009,6,1,8,31,6/1/2009,8/31/2009,2009-06-01,2009-08-31,577.86
2009,9,1,11,30,9/1/2009,11/30/2009,2009-09-01,2009-11-30,616.84
2009,12,1,2,28,12/1/2009,2/28/2010,2009-12-01,2009-02-27,626.79
2010,3,1,5,31,3/1/2010,5/31/2010,2010-03-01,2010-05-31,631.65
2010,6,1,8,31,6/1/2010,8/31/2010,2010-06-01,2010-08-31,662.64
2010,9,1,11,30,9/1/2010,11/30/2010,2010-09-01,2010-11-30,682.85
2010,12,1,2,28,12/1/2010,2/28/2011,2010-12-01,2011-02-28,687.5
2011,3,1,5,31,3/1/2011,5/31/2011,2011-03-01,2011-05-31,702.87
2011,6,1,8,31,6/1/2011,8/31/2011,2011-06-01,2011-08-31,720.6
2011,9,1,11,30,9/1/2011,11/30/2011,2011-09-01,2011-11-30,747.13
2011,12,1,2,29,12/1/2011,2/29/2012,2011-12-01,2012-02-29,764.95
2012,3,1,5,31,3/1/2012,5/31/2012,2012-03-01,2012-05-31,776.42
2012,6,1,8,31,6/1/2012,8/31/2012,2012-06-01,2012-08-31,804.88
2012,9,1,11,30,9/1/2012,11/30/2012,2012-09-03,2012-11-30,828.5
2012,12,1,2,28,12/1/2012,2/28/2013,2012-12-03,2013-02-28,841.62
2013,3,1,5,31,3/1/2013,5/31/2013,2013-03-01,2013-05-31,844.09
2013,6,1,8,31,6/1/2013,8/31/2013,2013-06-03,2013-08-30,864.96
2013,9,1,11,30,9/1/2013,11/30/2013,2013-09-02,2013-11-29,927.32
2013,12,1,2,28,12/1/2013,2/28/2014,2013-12-02,2014-02-28,956.84
2014,3,1,5,31,3/1/2014,5/31/2014,2014-03-03,2014-05-30,896.2
2014,6,1,8,31,6/1/2014,8/31/2014,2014-06-02,2014-08-29,961.28
2014,9,1,11,30,9/1/2014,11/30/2014,2014-09-01,2014-11-28,985.94
2014,12,1,2,28,12/1/2014,2/28/2015,2014-12-01,2014-02-27,1020.06
2015,3,1,5,31,3/1/2015,5/31/2015,2015-03-02,2015-05-29,968.15
2015,6,1,8,31,6/1/2015,8/31/2015,2015-06-01,2015-08-31,1000.45
2015,9,1,11,30,9/1/2015,11/30/2015,2015-09-01,2015-11-30,1035.27
2015,12,1,2,29,12/1/2015,2/29/2016,2015-12-01,2016-02-29,1073.73
2016,3,1,5,31,3/1/2016,5/31/2016,2016-03-01,2016-05-31,1018.46
2016,6,1,8,31,6/1/2016,8/31/2016,2016-06-01,2016-08-31,1061.06
2016,9,1,11,30,9/1/2016,11/30/2016,2016-09-01,2016-11-30,1096
2016,12,1,2,28,12/1/2016,2/28/2017,2016-12-01,2017-02-28,1160.82
2017,3,1,5,31,3/1/2017,5/31/2017,2017-03-01,2017-05-31,1090.34
2017,6,1,8,31,6/1/2017,8/31/2017,2017-06-01,2017-08-31,1146.64
2017,9,1,11,30,9/1/2017,11/30/2017,2017-09-01,2017-11-30,1177.22
2017,12,1,2,28,12/1/2017,2/28/2018,2017-12-01,2018-02-28,1245.03
2018,3,1,5,31,3/1/2018,5/31/2018,2018-03-01,2018-05-31,1143.19
2018,6,1,8,31,6/1/2018,8/31/2018,2018-06-01,2018-08-31,1203.95
2018,9,1,11,30,9/1/2018,11/30/2018,2018-09-03,2018-11-30,1225.62
2018,12,1,2,28,12/1/2018,2/28/2019,2018-12-03,2019-02-28,1276.66
2019,3,1,5,31,3/1/2019,5/31/2019,2019-03-01,2019-05-31,1188.69
2019,6,1,8,31,6/1/2019,8/31/2019,2019-06-03,2019-08-30,1256.83
2019,9,1,11,30,9/1/2019,11/30/2019,2019-09-02,2019-11-29,1280.09
2019,12,1,2,29,12/1/2019,2/29/2020,2019-12-02,2019-02-28,1332.99
2020,3,1,5,31,3/1/2020,5/31/2020,2020-03-02,2020-05-29,1246.33
2020,6,1,8,31,6/1/2020,8/31/2020,2020-06-01,2020-08-31,1087.22
