Release Date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Time,Actual,Forecast,Previous
10/26/2020,2020,10,1,10,31,10/1/2020,10/31/2020,2020-10-01,2020-10-30,4:00,92.7,93,93.2
9/24/2020,2020,9,1,9,30,9/1/2020,9/30/2020,2020-09-01,2020-09-30,3:00,93.4,93.8,92.5
8/25/2020,2020,8,1,8,31,8/1/2020,8/31/2020,2020-08-03,2020-08-31,3:00,92.6,92.2,90.4
7/27/2020,2020,7,1,7,31,7/1/2020,7/31/2020,2020-07-01,2020-07-31,3:00,90.5,89.3,86.3
6/24/2020,2020,6,1,6,30,6/1/2020,6/30/2020,2020-06-01,2020-06-30,3:00,86.2,85,79.7
5/25/2020,2020,5,1,5,31,5/1/2020,5/31/2020,2020-05-01,2020-05-29,3:00,79.5,78.3,74.2
4/24/2020,2020,4,1,4,30,4/1/2020,4/30/2020,2020-04-01,2020-04-30,3:00,74.3,80,85.9
3/25/2020,2020,3,1,3,31,3/1/2020,3/31/2020,2020-03-02,2020-03-31,4:00,86.1,87.7,96
3/19/2020,2020,3,1,3,31,3/1/2020,3/31/2020,2020-03-02,2020-03-31,04:00  ,87.7,95.3,96
2/24/2020,2020,2,1,2,29,2/1/2020,2/29/2020,2020-02-03,2020-02-28,4:00,96.1,95.3,96
1/27/2020,2020,1,1,1,31,1/1/2020,1/31/2020,2020-01-01,2020-01-31,4:00,95.9,97,96.3
12/18/2019,2019,12,1,12,31,12/1/2019,12/31/2019,2019-12-02,2019-12-31,4:00,96.3,95.5,95.1
11/25/2019,2019,11,1,11,30,11/1/2019,11/30/2019,2019-11-01,2019-11-29,4:00,95,95,94.7
10/25/2019,2019,10,1,10,31,10/1/2019,10/31/2019,2019-10-01,2019-10-31,3:00,94.6,94.5,94.6
9/24/2019,2019,9,1,9,30,9/1/2019,9/30/2019,2019-09-02,2019-09-30,3:00,94.6,94.5,94.3
8/26/2019,2019,8,1,8,31,8/1/2019,8/31/2019,2019-08-01,2019-08-30,3:00,94.3,95.1,95.8
7/25/2019,2019,7,1,7,31,7/1/2019,7/31/2019,2019-07-01,2019-07-31,3:00,95.7,97.1,97.5
6/24/2019,2019,6,1,6,30,6/1/2019,6/30/2019,2019-06-03,2019-06-28,3:00,97.4,97.4,97.9
5/23/2019,2019,5,1,5,31,5/1/2019,5/31/2019,2019-05-01,2019-05-31,3:00,97.9,99.2,99.2
4/24/2019,2019,4,1,4,30,4/1/2019,4/30/2019,2019-04-01,2019-04-30,3:00,99.2,99.9,99.6
3/25/2019,2019,3,1,3,31,3/1/2019,3/31/2019,2019-03-01,2019-03-29,4:00,99.6,98.7,98.7
2/22/2019,2019,2,1,2,28,2/1/2019,2/28/2019,2019-02-01,2019-02-28,4:00,98.5,99,99.3
1/25/2019,2019,1,1,1,31,1/1/2019,1/31/2019,2019-01-01,2019-01-31,4:00,99.1,100.7,101
12/18/2018,2018,12,1,12,31,12/1/2018,12/31/2018,2018-12-03,2018-12-31,4:00,101,101.8,102
11/26/2018,2018,11,1,11,30,11/1/2018,11/30/2018,2018-11-01,2018-11-30,4:00,102,102.3,102.9
10/25/2018,2018,10,1,10,31,10/1/2018,10/31/2018,2018-10-01,2018-10-31,3:00,102.8,103.1,103.7
9/24/2018,2018,9,1,9,30,9/1/2018,9/30/2018,2018-09-03,2018-09-28,3:00,103.7,103.2,103.9
8/27/2018,2018,8,1,8,31,8/1/2018,8/31/2018,2018-08-01,2018-08-31,3:00,103.8,101.9,101.7
7/25/2018,2018,7,1,7,31,7/1/2018,7/31/2018,2018-07-02,2018-07-31,3:00,101.7,101.6,101.9
6/25/2018,2018,6,1,6,30,6/1/2018,6/30/2018,2018-06-01,2018-06-29,3:00,101.9,101.9,102.4
5/25/2018,2018,5,1,5,31,5/1/2018,5/31/2018,2018-05-01,2018-05-31,3:00,102.4,102.7,102.4
