observation_date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),ZAFPROMANMISMEI,South Africa Industrial Production
1990-01-01,1990,1,1,1,31,1990-01-01,1990-01-31,1990-01-01,1990-01-31,75.8296275591945,75.83
1990-02-01,1990,2,1,2,28,1990-02-01,1990-02-28,1990-02-01,1990-02-28,76.1500292828767,76.15
1990-03-01,1990,3,1,3,31,1990-03-01,1990-03-31,1990-03-01,1990-03-30,76.2813240699115,76.28
1990-04-01,1990,4,1,4,30,1990-04-01,1990-04-30,1990-04-02,1990-04-30,76.8933881560544,76.89
1990-05-01,1990,5,1,5,31,1990-05-01,1990-05-31,1990-05-01,1990-05-31,75.3576269695768,75.36
1990-06-01,1990,6,1,6,30,1990-06-01,1990-06-30,1990-06-01,1990-06-29,76.8472938933518,76.85
1990-07-01,1990,7,1,7,31,1990-07-01,1990-07-31,1990-07-02,1990-07-31,75.5580482653087,75.56
1990-08-01,1990,8,1,8,31,1990-08-01,1990-08-31,1990-08-01,1990-08-31,76.3814778086648,76.38
1990-09-01,1990,9,1,9,30,1990-09-01,1990-09-30,1990-09-03,1990-09-28,75.4871095339310,75.49
1990-10-01,1990,10,1,10,31,1990-10-01,1990-10-31,1990-10-01,1990-10-31,74.2918736643305,74.29
1990-11-01,1990,11,1,11,30,1990-11-01,1990-11-30,1990-11-01,1990-11-30,75.2611148378185,75.26
1990-12-01,1990,12,1,12,31,1990-12-01,1990-12-31,1990-12-03,1990-12-31,73.6693166390300,73.67
1991-01-01,1991,1,1,1,31,1991-01-01,1991-01-31,1991-01-01,1991-01-31,74.1642165382780,74.16
1991-02-01,1991,2,1,2,28,1991-02-01,1991-02-28,1991-02-01,1991-02-28,73.5251639094472,73.53
1991-03-01,1991,3,1,3,31,1991-03-01,1991-03-31,1991-03-01,1991-03-29,72.4738397892940,72.47
1991-04-01,1991,4,1,4,30,1991-04-01,1991-04-30,1991-04-01,1991-04-30,77.5636458424894,77.56
1991-05-01,1991,5,1,5,31,1991-05-01,1991-05-31,1991-05-01,1991-05-31,71.7116707007330,71.71
1991-06-01,1991,6,1,6,30,1991-06-01,1991-06-30,1991-06-03,1991-06-28,74.2808596769096,74.28
1991-07-01,1991,7,1,7,31,1991-07-01,1991-07-31,1991-07-01,1991-07-31,72.6973819092521,72.70
1991-08-01,1991,8,1,8,31,1991-08-01,1991-08-31,1991-08-01,1991-08-30,72.6484435121234,72.65
1991-09-01,1991,9,1,9,30,1991-09-01,1991-09-30,1991-09-02,1991-09-30,73.8175529051592,73.82
1991-10-01,1991,10,1,10,31,1991-10-01,1991-10-31,1991-10-01,1991-10-31,71.5964975086565,71.60
1991-11-01,1991,11,1,11,30,1991-11-01,1991-11-30,1991-11-01,1991-11-29,70.7301582708365,70.73
1991-12-01,1991,12,1,12,31,1991-12-01,1991-12-31,1991-12-02,1991-12-31,71.7074257692733,71.71
1992-01-01,1992,1,1,1,31,1992-01-01,1992-01-31,1992-01-01,1992-01-31,71.0183955786255,71.02
