Year,End Month,End Day,Start Month,Start Day,End Date (Temp),Start Date (Temp),End Date (String),Start Date (String),Value
2020,9,30,9,1,9/30/2020,9/1/2020,2020-09-30,2020-09-01,14857.49
2020,8,31,8,1,8/31/2020,8/1/2020,2020-08-31,2020-08-03,14575.78
2020,7,31,7,1,7/31/2020,7/1/2020,2020-07-31,2020-07-01,13402.3
2020,6,30,6,1,6/30/2020,6/1/2020,2020-06-30,2020-06-01,12727.15
2020,5,31,5,1,5/31/2020,5/1/2020,2020-05-29,2020-05-01,12179.61
2020,4,30,4,1,4/30/2020,4/1/2020,2020-04-30,2020-04-01,11804.01
2020,3,31,3,1,3/31/2020,3/1/2020,2020-03-31,2020-03-02,11846.23
2020,2,29,2,1,2/29/2020,2/1/2020,2020-02-28,2020-02-03,12715.55
2020,1,31,1,1,1/31/2020,1/1/2020,2020-01-31,2020-01-01,13506.86
2019,12,31,12,1,12/31/2019,12/1/2019,2019-12-31,2019-12-02,13829.43
2019,11,30,11,1,11/30/2019,11/1/2019,2019-11-29,2019-11-01,15171.81
2019,10,31,10,1,10/31/2019,10/1/2019,2019-10-31,2019-10-01,17046.22
2019,9,30,9,1,9/30/2019,9/1/2019,2019-09-30,2019-09-02,17656.88
2019,8,31,8,1,8/31/2019,8/1/2019,2019-08-30,2019-08-01,15748.64
2019,7,31,7,1,7/31/2019,7/1/2019,2019-07-31,2019-07-01,13546.3
2019,6,30,6,1,6/30/2019,6/1/2019,2019-06-28,2019-06-03,11943.94
2019,5,31,5,1,5/31/2019,5/1/2019,2019-05-31,2019-05-01,12016.31
2019,4,30,4,1,4/30/2019,4/1/2019,2019-04-30,2019-04-01,12772.79
2019,3,31,3,1,3/31/2019,3/1/2019,2019-03-29,2019-03-01,13026.27
2019,2,28,2,1,2/28/2019,2/1/2019,2019-02-28,2019-02-01,12685.23
2019,1,31,1,1,1/31/2019,1/1/2019,2019-01-31,2019-01-01,11523.09
2018,12,31,12,1,12/31/2018,12/1/2018,2018-12-31,2018-12-03,10835.08
2018,11,30,11,1,11/30/2018,11/1/2018,2018-11-30,2018-11-01,11239.72
2018,10,31,10,1,10/31/2018,10/1/2018,2018-10-31,2018-10-01,12314.91
2018,9,30,9,1,9/30/2018,9/1/2018,2018-09-28,2018-09-03,12510.35
