Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Palladium Supply,Palladium Demand,,
1980,1,1,12,31,1/1/1980,12/31/1980,1980-01-01,1980-12-31,2340,2030,,
1981,1,1,12,31,1/1/1981,12/31/1981,1981-01-01,1981-12-31,2570,2090,,
1982,1,1,12,31,1/1/1982,12/31/1982,1982-01-01,1982-12-31,2600,2270,,
1983,1,1,12,31,1/1/1983,12/31/1983,1983-01-03,1983-12-30,2540,2700,,
1984,1,1,12,31,1/1/1984,12/31/1984,1984-01-02,1984-12-31,2960,2960,,
1985,1,1,12,31,1/1/1985,12/31/1985,1985-01-01,1985-12-31,2730,2740,,
1986,1,1,12,31,1/1/1986,12/31/1986,1986-01-01,1986-12-31,2920,2910,,
1987,1,1,12,31,1/1/1987,12/31/1987,1987-01-01,1987-12-31,3160,3185,,
1988,1,1,12,31,1/1/1988,12/31/1988,1988-01-01,1988-12-30,3315,3335,,
1989,1,1,12,31,1/1/1989,12/31/1989,1989-01-02,1989-12-29,3235,3340,,
1990,1,1,12,31,1/1/1990,12/31/1990,1990-01-01,1990-12-31,3540,3415,,
1991,1,1,12,31,1/1/1991,12/31/1991,1991-01-01,1991-12-31,3910,3790,,
1992,1,1,12,31,1/1/1992,12/31/1992,1992-01-01,1992-12-31,3880,3890,,
1993,1,1,12,31,1/1/1993,12/31/1993,1993-01-01,1993-12-31,4280,4265,,
1994,1,1,12,31,1/1/1994,12/31/1994,1994-01-03,1994-12-30,5280,4870,,
1995,1,1,12,31,1/1/1995,12/31/1995,1995-01-02,1995-12-29,6340,6120,,
1996,1,1,12,31,1/1/1996,12/31/1996,1996-01-01,1996-12-31,7840,6150,,
1997,1,1,12,31,1/1/1997,12/31/1997,1997-01-01,1997-12-31,7250,7580,,
1998,1,1,12,31,1/1/1998,12/31/1998,1998-01-01,1998-12-31,8400,8600,,
1999,1,1,12,31,1/1/1999,12/31/1999,1999-01-01,1999-12-31,8060,9370,,
2000,1,1,12,31,1/1/2000,12/31/2000,2000-01-03,2000-12-29,7800,9190,,
2001,1,1,12,31,1/1/2001,12/31/2001,2001-01-01,2001-12-31,7320,7040,,
2002,1,1,12,31,1/1/2002,12/31/2002,2002-01-01,2002-12-31,5250,5210,,
2003,1,1,12,31,1/1/2003,12/31/2003,2003-01-01,2003-12-31,6450,5840,,
2004,1,1,12,31,1/1/2004,12/31/2004,2004-01-01,2004-12-31,8580,7090,,
2004,1,1,12,31,1/1/2004,12/31/2004,2004-01-01,2004-12-31,8580,7090,,
2005,1,1,12,31,1/1/2005,12/31/2005,2005-01-03,2005-12-30,8405,8345,,
2006,1,1,12,31,1/1/2006,12/31/2006,2006-01-02,2006-12-29,7950,7845,,
2007,1,1,12,31,1/1/2007,12/31/2007,2007-01-01,2007-12-31,8580,8395,,
2008,1,1,12,31,1/1/2008,12/31/2008,2008-01-01,2008-12-31,7310,8290,,
2009,1,1,12,31,1/1/2009,12/31/2009,2009-01-01,2009-12-31,7100,7850,,
2010,1,1,12,31,1/1/2010,12/31/2010,2010-01-01,2010-12-31,7355,9735,,
2011,1,1,12,31,1/1/2011,12/31/2011,2011-01-03,2011-12-30,7360,8560,,
2012,1,1,12,31,1/1/2012,12/31/2012,2012-01-02,2012-12-31,6485,9910,,
2013,1,1,12,31,1/1/2013,12/31/2013,2013-01-01,2013-12-31,6397,9376,,
2014,1,1,12,31,1/1/2014,12/31/2014,2014-01-01,2014-12-31,6095,10591,,
2015,1,1,12,31,1/1/2015,12/31/2015,2015-01-01,2015-12-31,6453,9206,,
2016,1,1,12,31,1/1/2016,12/31/2016,2016-01-01,2016-12-30,6787,9457,,
2017,1,1,12,31,1/1/2017,12/31/2017,2017-01-02,2017-12-29,6451,10066,,
2018,1,1,12,31,1/1/2018,12/31/2018,2018-01-01,2018-12-31,7006,10330,,
2019,1,1,12,31,1/1/2019,12/31/2019,2019-01-01,2019-12-31,7069,11447,,
