"Date","Price","Open","High","Low","Change %"
"Nov 06, 2020","0.01288","0.01302","0.01305","0.01283","-0.89%"
"Nov 05, 2020","0.01300","0.01288","0.01304","0.01269","0.98%"
"Nov 04, 2020","0.01287","0.01263","0.01291","0.01252","2.10%"
"Nov 03, 2020","0.01261","0.01242","0.01266","0.01238","1.76%"
"Nov 02, 2020","0.01239","0.01259","0.01260","0.01235","-1.65%"
"Oct 30, 2020","0.01260","0.01268","0.01271","0.01255","-0.25%"
"Oct 29, 2020","0.01263","0.01266","0.01273","0.01255","-0.06%"
"Oct 28, 2020","0.01264","0.01296","0.01298","0.01260","-2.33%"
"Oct 27, 2020","0.01294","0.01308","0.01313","0.01293","-0.95%"
"Oct 26, 2020","0.01306","0.01312","0.01316","0.01304","-0.27%"
"Oct 23, 2020","0.01310","0.01305","0.01314","0.01299","0.77%"
"Oct 22, 2020","0.01300","0.01303","0.01309","0.01288","0.00%"
"Oct 21, 2020","0.01300","0.01293","0.01306","0.01291","0.62%"
"Oct 20, 2020","0.01292","0.01285","0.01295","0.01280","0.84%"
"Oct 19, 2020","0.01281","0.01285","0.01292","0.01279","-0.37%"
"Oct 16, 2020","0.01286","0.01283","0.01287","0.01274","0.47%"
"Oct 15, 2020","0.01280","0.01285","0.01290","0.01274","-0.19%"
"Oct 14, 2020","0.01282","0.01298","0.01301","0.01284","-1.00%"
"Oct 13, 2020","0.01295","0.01298","0.01303","0.01291","0.05%"
"Oct 12, 2020","0.01295","0.01300","0.01304","0.01293","-0.45%"
"Oct 09, 2020","0.01300","0.01293","0.01304","0.01291","0.85%"
"Oct 08, 2020","0.01290","0.01281","0.01294","0.01278","0.89%"
"Oct 07, 2020","0.01278","0.01275","0.01284","0.01273","0.34%"
"Oct 06, 2020","0.01274","0.01280","0.01289","0.01271","-0.27%"
"Oct 05, 2020","0.01277","0.01277","0.01286","0.01267","0.04%"
"Oct 02, 2020","0.01277","0.01295","0.01301","0.01268","-0.98%"
"Oct 01, 2020","0.01289","0.01288","0.01300","0.01285","0.28%"
"Sep 30, 2020","0.01286","0.01264","0.01290","0.01259","1.86%"
"Sep 29, 2020","0.01262","0.01265","0.01275","0.01250","-0.05%"
"Sep 28, 2020","0.01263","0.01280","0.01282","0.01261","-1.20%"
"Sep 25, 2020","0.01278","0.01297","0.01305","0.01273","-1.16%"
"Sep 24, 2020","0.01293","0.01298","0.01305","0.01290","-0.30%"
"Sep 23, 2020","0.01297","0.01314","0.01319","0.01296","-1.03%"
"Sep 22, 2020","0.01311","0.01312","0.01323","0.01304","0.53%"
"Sep 21, 2020","0.01304","0.01319","0.01328","0.01304","-1.16%"
"Sep 18, 2020","0.01319","0.01331","0.01337","0.01319","-0.70%"
"Sep 17, 2020","0.01328","0.01335","0.01338","0.01325","-0.17%"
"Sep 16, 2020","0.01331","0.01333","0.01340","0.01325","0.00%"
"Sep 15, 2020","0.01331","0.01328","0.01336","0.01325","0.39%"
"Sep 14, 2020","0.01326","0.01335","0.01341","0.01324","-0.56%"
"Sep 11, 2020","0.01333","0.01331","0.01338","0.01328","0.41%"
"Sep 10, 2020","0.01328","0.01328","0.01339","0.01321","0.14%"
"Sep 09, 2020","0.01326","0.01312","0.01329","0.01306","1.39%"
"Sep 08, 2020","0.01308","0.01320","0.01324","0.01306","-0.72%"
"Sep 07, 2020","0.01317","0.01328","0.01330","0.01311","-0.57%"
"Sep 04, 2020","0.01325","0.01328","0.01335","0.01321","-0.16%"
"Sep 03, 2020","0.01327","0.01325","0.01336","0.01318","0.55%"
"Sep 02, 2020","0.01319","0.01357","0.01362","0.01320","-2.32%"
"Sep 01, 2020","0.01351","0.01353","0.01363","0.01350","0.00%"
"Aug 31, 2020","0.01350","0.01348","0.01359","0.01340","0.13%"
"Aug 28, 2020","0.01349","0.01332","0.01352","0.01329","1.47%"
"Aug 27, 2020","0.01329","0.01324","0.01339","0.01320","0.77%"
"Aug 26, 2020","0.01319","0.01330","0.01332","0.01315","-0.66%"
"Aug 25, 2020","0.01328","0.01338","0.01346","0.01320","-0.88%"
"Aug 24, 2020","0.01340","0.01337","0.01348","0.01333","0.32%"
"Aug 21, 2020","0.01335","0.01354","0.01358","0.01332","-1.26%"
"Aug 20, 2020","0.01352","0.01363","0.01369","0.01348","-0.61%"
"Aug 19, 2020","0.01361","0.01368","0.01372","0.01358","-0.36%"
"Aug 18, 2020","0.01365","0.01357","0.01371","0.01352","0.75%"
"Aug 17, 2020","0.01355","0.01369","0.01375","0.01354","-1.16%"
"Aug 14, 2020","0.01371","0.01372","0.01374","0.01360","0.11%"
"Aug 13, 2020","0.01370","0.01360","0.01373","0.01352","1.06%"
"Aug 12, 2020","0.01355","0.01368","0.01371","0.01352","-0.85%"
"Aug 11, 2020","0.01367","0.01360","0.01376","0.01357","0.45%"
"Aug 10, 2020","0.01361","0.01355","0.01369","0.01351","0.57%"
"Aug 07, 2020","0.01353","0.01364","0.01367","0.01352","-0.57%"
"Aug 06, 2020","0.01361","0.01369","0.01377","0.01358","-0.51%"
"Aug 05, 2020","0.01368","0.01359","0.01377","0.01357","0.97%"
"Aug 04, 2020","0.01355","0.01367","0.01372","0.01351","-0.93%"
"Aug 03, 2020","0.01367","0.01350","0.01369","0.01340","1.71%"
"Jul 31, 2020","0.01344","0.01367","0.01369","0.01341","-1.69%"
"Jul 30, 2020","0.01367","0.01379","0.01382","0.01355","-0.76%"
"Jul 29, 2020","0.01378","0.01379","0.01388","0.01372","-0.08%"
"Jul 28, 2020","0.01379","0.01397","0.01399","0.01376","-1.25%"
"Jul 27, 2020","0.01397","0.01393","0.01400","0.01389","0.10%"
"Jul 24, 2020","0.01395","0.01400","0.01405","0.01389","-0.31%"
"Jul 23, 2020","0.01400","0.01407","0.01413","0.01396","-0.49%"
"Jul 22, 2020","0.01407","0.01415","0.01418","0.01402","-0.60%"
