Date,Price,Open,High,Low,Change %
12/31/1999,0.0363,0.0361,0.0363,0.0361,0.00%
12/30/1999,0.0363,0.0361,0.0363,0.0361,-0.27%
12/29/1999,0.0364,0.0364,0.0364,0.0364,-0.27%
12/28/1999,0.0365,0.0364,0.0365,0.0364,-1.08%
12/27/1999,0.0369,0.0368,0.0369,0.0368,-0.81%
12/24/1999,0.0372,0.0372,0.0372,0.0372,-0.53%
12/23/1999,0.0374,0.0373,0.0374,0.0373,0.00%
12/22/1999,0.0374,0.0374,0.0374,0.0374,0.27%
12/21/1999,0.0373,0.0373,0.0373,0.0373,-0.27%
12/20/1999,0.0374,0.0374,0.0374,0.0374,0.00%
12/17/1999,0.0374,0.0373,0.0374,0.0373,0.00%
12/16/1999,0.0374,0.0373,0.0374,0.0373,0.54%
12/15/1999,0.0372,0.0372,0.0372,0.0372,0.00%
12/14/1999,0.0372,0.0372,0.0372,0.0372,0.27%
12/13/1999,0.0371,0.0371,0.0371,0.0371,0.00%
12/10/1999,0.0371,0.0371,0.0371,0.0371,-0.27%
12/9/1999,0.0372,0.0372,0.0372,0.0372,0.27%
12/8/1999,0.0371,0.0371,0.0371,0.0371,-0.27%
12/7/1999,0.0372,0.0371,0.0372,0.0371,0.00%
12/6/1999,0.0372,0.0372,0.0372,0.0372,-0.27%
12/3/1999,0.0373,0.0373,0.0373,0.0373,-0.27%
12/2/1999,0.0374,0.0374,0.0374,0.0374,0.00%
12/1/1999,0.0374,0.0374,0.0374,0.0374,0.00%
11/30/1999,0.0374,0.0374,0.0374,0.0374,-0.80%
11/29/1999,0.0377,0.0377,0.0377,0.0377,0.00%
11/26/1999,0.0377,0.0377,0.0377,0.0377,0.00%
11/25/1999,0.0377,0.0377,0.0377,0.0377,-0.26%
11/24/1999,0.0378,0.0378,0.0378,0.0378,0.00%
11/23/1999,0.0378,0.0378,0.0378,0.0378,0.27%
11/22/1999,0.0377,0.0377,0.0377,0.0377,-0.26%
11/19/1999,0.0378,0.0378,0.0378,0.0378,-0.26%
11/18/1999,0.0379,0.0378,0.0379,0.0378,0.00%
11/17/1999,0.0379,0.0379,0.0379,0.0379,-0.26%
11/16/1999,0.038,0.038,0.038,0.038,-0.26%
11/15/1999,0.0381,0.0381,0.0381,0.0381,0.53%
11/12/1999,0.0379,0.0379,0.0379,0.0379,-0.79%
11/11/1999,0.0382,0.0381,0.0382,0.0381,0.00%
