Release Date,Year,Start Month,Start Day,End Month,End Day,Start Date (Temp),End Date (Temp),Start Date (String),End Date (String),Time,Actual,Forecast,Previous
11/19/2020,2020,10,1,10,31,10/1/2020,10/31/2020,2020-10-01,2020-10-30,10:00,,6.45M,6.54M
10/22/2020,2020,9,1,9,30,9/1/2020,9/30/2020,2020-09-01,2020-09-30,9:00,6.54M,6.30M,5.98M
9/22/2020,2020,8,1,8,31,8/1/2020,8/31/2020,2020-08-03,2020-08-31,9:00,6.00M,6.00M,5.86M
8/21/2020,2020,7,1,7,31,7/1/2020,7/31/2020,2020-07-01,2020-07-31,9:00,5.86M,5.38M,4.70M
7/22/2020,2020,6,1,6,30,6/1/2020,6/30/2020,2020-06-01,2020-06-30,9:00,4.72M,4.78M,3.91M
6/22/2020,2020,5,1,5,31,5/1/2020,5/31/2020,2020-05-01,2020-05-29,9:00,3.91M,4.12M,4.33M
5/21/2020,2020,4,1,4,30,4/1/2020,4/30/2020,2020-04-01,2020-04-30,9:00,4.33M,4.30M,5.27M
4/21/2020,2020,3,1,3,31,3/1/2020,3/31/2020,2020-03-02,2020-03-31,9:00,5.27M,5.30M,5.76M
3/20/2020,2020,2,1,2,29,2/1/2020,2/29/2020,2020-02-03,2020-02-28,9:00,5.77M,5.50M,5.42M
2/21/2020,2020,1,1,1,31,1/1/2020,1/31/2020,2020-01-01,2020-01-31,10:00,5.46M,5.43M,5.53M
1/22/2020,2020,0,1,0,31,12/1/2019,12/31/2019,2019-12-02,2019-12-31,10:00,5.54M,5.43M,5.35M
12/19/2019,2019,11,1,11,30,11/1/2019,11/30/2019,2019-11-01,2019-11-29,10:00,5.35M,5.44M,5.44M
11/21/2019,2019,10,1,10,31,10/1/2019,10/31/2019,2019-10-01,2019-10-31,10:00,5.46M,5.47M,5.36M
10/22/2019,2019,9,1,9,30,9/1/2019,9/30/2019,2019-09-02,2019-09-30,9:00,5.38M,5.45M,5.50M
9/19/2019,2019,8,1,8,31,8/1/2019,8/31/2019,2019-08-01,2019-08-30,9:00,5.49M,5.37M,5.42M
