Date,Price,Open,High,Low,Change %
12/29/1989,2.5533,2.5525,2.5533,2.5405,0.41%
12/28/1989,2.543,2.538,2.548,2.5305,0.15%
12/27/1989,2.5393,2.5385,2.5427,2.533,-0.61%
12/22/1989,2.555,2.55,2.5695,2.55,-0.21%
12/21/1989,2.5605,2.559,2.567,2.556,-0.58%
12/20/1989,2.5755,2.574,2.5865,2.57,0.40%
12/19/1989,2.5652,2.5645,2.5652,2.551,0.50%
12/18/1989,2.5525,2.55,2.564,2.5405,0.00%
12/15/1989,2.5525,2.55,2.5765,2.55,-0.73%
12/14/1989,2.5713,2.5705,2.5762,2.56,0.11%
12/13/1989,2.5685,2.567,2.5715,2.533,0.08%
12/12/1989,2.5665,2.565,2.5865,2.565,-0.85%
12/11/1989,2.5885,2.587,2.5955,2.5815,-0.12%
12/8/1989,2.5915,2.589,2.599,2.585,0.12%
12/7/1989,2.5885,2.587,2.5915,2.5785,0.35%
12/6/1989,2.5795,2.578,2.5985,2.578,-0.42%
12/5/1989,2.5905,2.589,2.6105,2.585,-0.38%
12/4/1989,2.6005,2.599,2.6045,2.591,-0.23%
12/1/1989,2.6065,2.605,2.6095,2.59,0.04%
11/30/1989,2.6055,2.604,2.62,2.602,0.12%
11/29/1989,2.6025,2.601,2.6105,2.5908,-0.25%
11/28/1989,2.609,2.6075,2.6195,2.6075,0.10%
11/27/1989,2.6065,2.605,2.6175,2.597,-0.19%
11/24/1989,2.6115,2.61,2.621,2.599,-0.23%
11/23/1989,2.6175,2.6165,2.6215,2.605,0.06%
11/22/1989,2.616,2.6145,2.6215,2.601,0.17%
11/21/1989,2.6115,2.61,2.6345,2.61,-0.50%
11/20/1989,2.6247,2.6247,2.6382,2.6247,-0.26%
11/17/1989,2.6315,2.63,2.6382,2.629,0.19%
11/16/1989,2.6265,2.625,2.6435,2.62,0.06%
11/15/1989,2.625,2.623,2.6405,2.619,-0.32%
11/14/1989,2.6335,2.632,2.655,2.632,-0.68%
11/13/1989,2.6515,2.65,2.661,2.65,0.23%
11/10/1989,2.6455,2.644,2.6485,2.634,0.46%
11/9/1989,2.6335,2.632,2.641,2.628,0.02%
11/8/1989,2.633,2.6315,2.641,2.626,0.06%
11/7/1989,2.6315,2.63,2.6365,2.626,-0.23%
